sub_region_1,date,ML,Low_90,High_90,Low_50,High_50
Lazio,2021-11-08,1.42,1.04,1.84,1.28,1.61
Lazio,2021-11-09,1.22,0.86,1.6300000000000001,1.1,1.42
Lazio,2021-11-10,1.29,0.93,1.68,1.17,1.48
Lazio,2021-11-11,1.3900000000000001,1.04,1.76,1.28,1.58
Lazio,2021-11-12,0.98,0.64,1.36,0.87,1.17
Lazio,2021-11-13,0.93,0.58,1.31,0.8,1.1
Lazio,2021-11-14,1.52,1.18,1.8800000000000001,1.4000000000000001,1.69
Lazio,2021-11-15,1.32,0.99,1.6500000000000001,1.18,1.45
Lazio,2021-11-16,1.28,0.97,1.62,1.18,1.45
Lazio,2021-11-17,0.9400000000000001,0.63,1.28,0.84,1.11
Lazio,2021-11-18,1.27,0.97,1.61,1.1400000000000001,1.4000000000000001
Lazio,2021-11-19,1.2,0.9,1.52,1.11,1.37
Lazio,2021-11-20,1.73,1.45,2.0300000000000002,1.6300000000000001,1.87
Lazio,2021-11-21,1.22,0.96,1.52,1.1300000000000001,1.36
Lazio,2021-11-22,1.11,0.8300000000000001,1.3800000000000001,1.02,1.25
Lazio,2021-11-23,1.31,1.05,1.59,1.21,1.43
Lazio,2021-11-24,1.12,0.86,1.3900000000000001,1.03,1.25
Lazio,2021-11-25,0.98,0.72,1.25,0.89,1.11
Lazio,2021-11-26,1.37,1.12,1.6300000000000001,1.28,1.49
Lazio,2021-11-27,0.89,0.63,1.1400000000000001,0.79,1.0
Lazio,2021-11-28,1.1300000000000001,0.88,1.3900000000000001,1.04,1.25
Lazio,2021-11-29,1.25,1.01,1.51,1.17,1.3800000000000001
Lazio,2021-11-30,0.92,0.68,1.18,0.85,1.06
Lazio,2021-12-01,1.45,1.22,1.7,1.3800000000000001,1.58
Lazio,2021-12-02,1.35,1.1300000000000001,1.59,1.27,1.46
Lazio,2021-12-03,0.97,0.75,1.21,0.89,1.08
Lazio,2021-12-04,0.9400000000000001,0.71,1.17,0.85,1.04
Lazio,2021-12-05,0.9500000000000001,0.73,1.2,0.85,1.04
Lazio,2021-12-06,0.77,0.54,1.02,0.7000000000000001,0.9
Lazio,2021-12-07,1.16,0.92,1.3900000000000001,1.09,1.29
Lazio,2021-12-08,1.07,0.85,1.32,0.98,1.17
Lazio,2021-12-09,1.28,1.06,1.51,1.22,1.41
Lazio,2021-12-10,1.25,1.04,1.48,1.17,1.35
Lazio,2021-12-11,1.37,1.17,1.59,1.31,1.49
Lazio,2021-12-12,1.0,0.79,1.21,0.9400000000000001,1.12
Lazio,2021-12-13,1.55,1.37,1.77,1.5,1.67
Lazio,2021-12-14,1.17,0.99,1.3800000000000001,1.11,1.27
Lazio,2021-12-15,1.24,1.06,1.44,1.18,1.34
Lazio,2021-12-16,1.1300000000000001,0.9400000000000001,1.31,1.08,1.24
Lazio,2021-12-17,1.09,0.92,1.29,1.02,1.17
Lazio,2021-12-18,1.07,0.9,1.27,1.01,1.16
Lazio,2021-12-19,1.36,1.19,1.54,1.31,1.46
Lazio,2021-12-20,1.07,0.91,1.26,1.02,1.17
Lazio,2021-12-21,1.42,1.26,1.59,1.37,1.51
Lazio,2021-12-22,1.6,1.45,1.76,1.55,1.68
Lazio,2021-12-23,1.42,1.28,1.57,1.37,1.49
Lazio,2021-12-24,1.34,1.2,1.48,1.29,1.41
Lazio,2021-12-25,1.37,1.24,1.51,1.32,1.43
Lazio,2021-12-26,1.54,1.41,1.6600000000000001,1.5,1.61
Lazio,2021-12-27,1.52,1.4000000000000001,1.6400000000000001,1.48,1.58
Lazio,2021-12-28,1.18,1.06,1.29,1.1500000000000001,1.25
Lazio,2021-12-29,1.01,0.89,1.12,0.97,1.07
